"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"35","OTU_35",0,7,0,0,0,0,0,47,0,0,0,0,531,591,235,655,689,1714,0,0,0,0,4,0,0,0,0,0,0,1298,423,3870,207,318,350,0,10173,16233,11763,11992,9128,7572,867,1561,1006,1220,665,1257
"36","OTU_36",0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,2,2,1,0,0,3685,4996,3514,6860,4758,7788,21,11,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"37","OTU_37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,17,733,8247,15284,7040,1913,491,2220,0,0,0,0,0,0,0,0,0,0,1,0,0
"38","OTU_38",0,0,0,3,0,0,0,16,0,0,0,0,364,0,0,335,1,197,0,0,1,16,28,84,8,0,0,1,1,0,0,0,5085,186,43157,0,223,0,217,1818,1,0,4,2,2,2,0,1
"39","OTU_39",5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8554,5487,13397,7010,18993,3436,78,170,16,0,8,13,6,16,10,8,1,5,1,0,0,768
"40","OTU_40",0,0,0,0,0,0,0,854,0,0,0,0,359,0,0,0,6434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,477,659,320,0,1855,1,314,13,0,0,17619,10905,6157,1346,9109,2
"41","OTU_41",0,0,0,0,0,0,0,413,0,0,0,0,737,0,0,0,0,4,0,0,4,5239,5506,117,0,5,0,3,8,1,4,0,194,106,10,0,5,1,0,2,5330,4327,10,2581,2445,17,176,47
"42","OTU_42",0,0,84,0,0,0,0,0,0,0,0,0,1086,38,648,280,2007,77,0,0,0,0,0,0,194,0,25,0,3,10,22,26,71,23,50,0,0,2,5618,2,12683,7224,0,0,39,12,0,2
"43","OTU_43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,616,0,3075,5594,17356,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","OTU_44",16,125,8844,15305,0,0,0,68,0,0,0,0,4,0,0,1,1,4,0,0,1,0,1,2,0,4,24,2,5,14,116,9,4,1,0,0,3,13,2,34,17,18,138,46,29,72,8,14
"45","OTU_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17019,1533,1378,222,790,50,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"46","OTU_46",0,0,94,118,0,0,0,612,0,0,0,0,609,122,180,376,449,1238,0,0,795,1123,683,1460,813,912,5,0,3,0,0,0,0,0,0,0,1007,1420,568,1892,1186,1427,336,1264,310,614,516,1133
"47","OTU_47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,1023,1937,5068,11373,5256,18,64,97,0,0,0,0,0,0,1751,0,0,0,0,0,0
"48","OTU_48",0,0,0,0,0,0,0,23,0,0,0,0,23,16,11,53,12,24,0,0,1972,1859,3573,2336,3376,4249,646,936,526,12,19,10,9,3,1,0,22,50,8,44,5,6,12,95,25,22,42,16
"49","OTU_49",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,5,236,78,0,428,5,22521,0,0,0,0,0
"50","OTU_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12970,1369,3328,0,0,0,18,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3
"51","OTU_51",0,19437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"52","OTU_52",0,0,0,0,0,0,0,0,0,0,0,0,3555,1016,1364,3806,2179,4316,0,0,0,0,0,0,0,0,11,14,9,5,24,2,30,56,58,0,0,37,60,116,31,21,6,0,14,0,17,0
