"OTU","L.AQ.1","L.AQ.2","L.BALL.1","L.BALL.2","L.Control.1","L.Control.2","L.Control.3","L.Control.4","L.Control.5","L.Control.6","L.EMPTY.1","L.EMPTY.2","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PCR1.NTC","L.PCR2.NTC","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.S.10","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"40","OTU_40",0,0,4322,19102,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","OTU_41",0,0,0,0,0,0,0,3,0,0,0,0,3,1,5,50,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,22204,861,0,0,0,0,0,0,0,16,6,2,6,12,8
"42","OTU_42",0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,643,24700,0,0,0,0,0,0,0,2555,61,10,2394,3940,28
"43","OTU_43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,172,207,174,68,45,14444,3875,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","OTU_44",0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,35562,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","OTU_45",0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4830,2079,2544,1508,7651,3232,54,107,161,12,144,8,629,6,3,0,6,14,23,0,22,26,11,11,8,12,19,13
"46","OTU_46",0,0,0,0,0,0,0,0,0,0,0,0,2671,4232,1120,2423,4725,5664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","OTU_47",0,0,0,0,0,0,0,4557,0,0,0,0,202,311,145,239,189,428,0,0,154,140,132,363,118,238,0,1,0,0,0,0,0,0,0,0,786,917,516,614,566,737,1334,2458,403,2150,1446,2459
"48","OTU_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","OTU_49",0,0,1702,18726,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,7,12,16,22,5,0,3,3,6,0,2,0,0,0,0,7,8,10,4,2,2,0,0,0,7,1,3
"50","OTU_50",0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,4,0,0,0,0,8,0,0,0,1512,1589,1256,2919,3029,1151,2435,6724,3417,0,14,4,5,10,12,24,90,62,0,36,22,18
"51","OTU_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11369,490,1653,860,4128,528,1521,14385,3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","OTU_52",0,0,0,0,0,0,0,7437,0,0,0,0,1584,686,1201,773,1226,1395,0,0,317,136,506,385,130,112,2,2,0,1,0,0,0,2,2,0,164,212,380,527,673,447,2553,3143,581,3164,2304,3990
"53","OTU_53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9511,9301,1,22,105,3,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"54","OTU_54",0,0,0,0,0,0,0,9943,0,0,0,0,36,67,43,57,54,110,0,0,147,135,142,180,45,84,4,10,4,0,0,0,0,6,0,0,33,9,3,22,14,12,2095,3551,592,2720,2349,3093
"55","OTU_55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,14910,301,0,0,0,0,0,0,0,8,4,14,0,2198,2
"56","OTU_56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,6072,9824,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","OTU_57",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,480,326,1240,460,508,279,2954,17048,3530,40,10,1,38,92,53,0,0,0,0,0,0,0,12,0,0,6,12,4
"58","OTU_58",0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,59,1035,1118,358,4274,9327,5479,0,0,514,0,0,0,1,0,1,1,687,4,5
"59","OTU_59",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944,406,392,0,0,0,0,5011,2770,3139,2198,4026,2790,0,2,0,0,0,0
"60","OTU_60",0,0,0,3,0,0,0,825,0,0,0,0,2112,1574,1401,1624,1296,1812,0,0,739,740,482,797,506,372,2,1,5,10,6,4,0,0,0,0,3478,4754,4212,3420,3575,4736,1167,1519,364,1390,1402,1225
"61","OTU_61",0,0,0,0,0,0,0,133,0,0,0,0,46,11,21,16,22,15,0,0,45,17,13,10,1,13,1915,870,775,2965,2108,986,1370,4057,1704,0,157,47,91,38,104,55,129,108,40,89,124,75
"62","OTU_62",0,0,0,3,0,0,0,343,0,0,0,0,82,27,57,35,66,71,0,0,3,0,1,17,0,0,2,1,0,2,2,1,3,3,6,0,2057,2416,3816,3675,2246,1363,86,97,24,58,47,72
"63","OTU_63",0,0,0,0,0,0,0,0,0,0,0,0,14965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","OTU_64",0,0,0,0,0,0,0,3070,0,0,0,0,1251,1,9,1,7,2,0,0,4,5814,7007,21,0,0,0,8,159,5,2,21,83,120,17,0,0,5,3,4,5075,3230,22,3667,1392,32,1335,26
"65","OTU_65",0,0,0,0,0,0,0,252,0,0,0,0,1,0,0,0,0,0,0,0,3670,2028,2787,2659,2755,1705,30,18,28,0,0,0,0,0,0,0,25,20,24,33,23,24,36,45,12,51,24,49
"66","OTU_66",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14790,14,384,0,0,0,0,0,0,0,13,12,1,53,28,9
"67","OTU_67",0,0,0,21,0,0,0,112,0,0,0,0,4628,4037,3132,3772,2976,3679,0,0,1571,1754,1319,951,1999,2484,29,6,15,12,0,0,2,2,3,0,5,1,0,3,2,1,4,18,0,11,19,14
"68","OTU_68",0,0,0,0,0,0,0,741,0,0,0,0,11,7,10,14,11,13,0,0,9,12,4,12,5,19,1360,318,240,2473,1092,624,1478,4978,1627,0,292,133,182,125,199,166,85,116,43,93,118,80
"69","OTU_69",0,0,0,0,0,0,0,0,0,0,0,0,3200,916,2269,1638,2248,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","OTU_70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6016,2336,3602,4361,3864,2877,8,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","OTU_71",0,0,0,0,0,0,0,32,0,0,0,0,822,490,491,466,714,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,258,185,253,264,260,2430,3053,693,3609,2455,3034
"72","OTU_72",0,0,0,0,0,0,0,23,0,0,0,0,626,459,219,308,316,191,0,0,378,187,331,133,547,183,1621,6660,1711,155,73,149,49,57,75,0,103,98,130,58,68,52,40,24,4,25,41,11
"73","OTU_73",0,0,0,0,0,0,0,1,0,0,0,0,5,8,6,5,13127,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,2,1,0,5,0
"74","OTU_74",0,0,0,0,0,0,0,63,0,0,0,0,2121,72,952,44,1026,56,0,0,89,9,111,3,193,0,15,10,3,485,119,68,224,653,238,0,698,132,1108,128,1189,259,838,34,279,48,907,42
"75","OTU_75",0,0,0,0,0,0,0,275,0,0,0,0,369,333,179,342,234,326,0,0,2211,2446,1282,2628,1698,1761,4,2,3,0,0,0,2,0,0,0,230,280,265,225,220,248,282,402,71,325,265,299
"76","OTU_76",0,0,3292,8262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
