"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"35","Zotu35",0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,43,772,1451,189,10048,7454,20831,0,0,1289,0,1,0,0,2,0,0,777,2,5
"36","Zotu36",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3416,10722,2594,12640,2625,12446,4,2,5,0,0,0,0,0,0,0,191,202,94,481,42,83,0,10,5,8,7,11
"37","Zotu37",0,33203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Zotu38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23761,2307,9027,7188,1606,907,1377,8286,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Zotu39",0,0,0,0,0,0,0,0,0,0,0,0,18011,366,1915,946,13771,896,0,0,0,2,0,0,375,0,57,72,22,89,38,0,587,447,866,0,0,0,4,0,5,6,0,1,51,38,0,17
"40","Zotu40",0,0,0,29,0,0,0,247,0,0,0,0,96,38,33,93,64,204,0,0,2771,3753,3305,6674,4204,7604,314,48,88,22,34,3,38,58,59,0,561,715,306,826,501,562,47,147,77,122,101,215
"41","Zotu41",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,1,0,11,6,1,1,6,0,0,1853,2596,1961,8825,10375,10555,0,1,1,2,1,4
"42","Zotu42",0,7,0,0,0,0,0,47,0,0,0,0,528,588,235,652,688,1699,0,0,0,0,4,0,0,0,0,0,0,1291,422,3850,207,317,349,0,10130,16151,11724,11928,9044,7545,863,1555,1000,1212,662,1249
"43","Zotu43",0,0,1,0,0,0,0,0,0,0,0,0,136,6,34,8,131,5,0,0,0,162,0,0,27057,0,3149,11,119,13,1223,0,4,0,2,0,1,3,6,4,10,4,0,0,3,2,0,0
"44","Zotu44",0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,2,2,1,0,0,3681,4990,3508,6853,4755,7781,21,11,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"45","Zotu45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,12,8240,15273,7036,1912,491,500,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Zotu46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,17,1,20,0,4,0,0,0,1,0
"47","Zotu47",0,0,0,3,0,0,0,3,0,0,0,0,362,0,0,8,0,4,0,0,1,16,28,84,8,0,0,1,1,0,0,0,4455,183,26493,0,0,0,4,40,1,0,0,0,0,0,0,0
"48","Zotu48",5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8513,5459,13265,6963,18879,3414,71,125,7,0,8,13,5,16,9,8,1,4,0,0,0,131
"49","Zotu49",0,0,0,0,0,0,0,854,0,0,0,0,343,0,0,0,6065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,475,656,318,0,1854,1,312,13,0,0,17589,10793,6079,1316,9054,2
"50","Zotu50",0,0,0,0,0,0,0,401,0,0,0,0,734,0,0,0,0,4,0,0,4,5231,5496,117,0,5,0,3,8,1,4,0,191,105,10,0,5,1,0,2,5329,4327,10,2553,2442,17,176,47
