"OTU","L.AQ.1","L.AQ.2","L.BALL.1","L.BALL.2","L.Control.1","L.Control.2","L.Control.3","L.Control.4","L.Control.5","L.Control.6","L.EMPTY.1","L.EMPTY.2","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PCR1.NTC","L.PCR2.NTC","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.S.10","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"48","Zotu48",0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,35562,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Zotu49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Zotu50",0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4830,2079,2544,1508,7651,3232,54,107,161,12,144,8,629,6,3,0,6,14,23,0,22,26,11,11,8,12,19,13
"51","Zotu51",0,0,0,0,0,0,0,0,0,0,0,0,2671,4232,1120,2423,4725,5664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Zotu52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3660,2645,2580,2277,4674,5480,17,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Zotu53",0,0,0,2,0,0,0,1346,0,0,0,0,3535,2871,1958,2882,2091,3136,0,0,475,390,231,516,254,288,3,0,0,9,3,6,1,1,4,0,1826,2357,2176,1669,1771,2490,1582,2000,512,1738,1533,1684
"54","Zotu54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Zotu55",0,0,0,0,0,0,0,4557,0,0,0,0,202,311,145,239,189,428,0,0,154,140,132,363,118,238,0,1,0,0,0,0,0,0,0,0,786,917,516,614,566,737,1334,2458,403,2150,1446,2459
"56","Zotu56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Zotu57",0,0,1702,18726,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,7,12,16,22,5,0,3,3,6,0,2,0,0,0,0,7,8,10,4,2,2,0,0,0,7,1,3
"58","Zotu58",0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,4,0,0,0,0,8,0,0,0,1494,1563,1223,2916,3021,1150,2424,6686,3376,0,14,4,5,10,12,24,90,62,0,36,22,18
"59","Zotu59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10857,490,1652,860,4024,508,1518,12426,3496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Zotu60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,2,5,0,0,0,0,1,1
"61","Zotu61",0,0,0,0,0,0,0,767,0,0,0,0,1905,1517,970,1323,1183,1541,0,0,32,30,17,30,35,10,0,0,0,1,0,0,0,5,0,0,206,333,302,215,228,324,2447,2487,691,2277,1934,1943
"62","Zotu62",0,0,0,0,0,0,0,7396,0,0,0,0,1528,669,1146,751,1171,1343,0,0,314,134,495,376,130,112,2,2,0,1,0,0,0,2,2,0,160,204,368,506,656,439,2537,3135,578,3140,2292,3971
"63","Zotu63",0,0,0,0,0,0,0,18,0,0,0,0,22,15,16,15,8,21,0,0,3,2,1,5,3,2,0,0,0,0,1,0,0,0,0,0,37,28,28,29,33,32,19,38,9,30,27,29
"64","Zotu64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9393,9182,1,22,105,3,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"65","Zotu65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,1
"66","Zotu66",0,0,0,0,0,0,0,9810,0,0,0,0,36,67,43,57,54,110,0,0,72,37,59,45,20,27,0,0,4,0,0,0,0,6,0,0,18,4,0,7,4,3,2044,3438,584,2645,2254,3023
"67","Zotu67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,14910,301,0,0,0,0,0,0,0,8,4,14,0,2198,2
"68","Zotu68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359,6057,9611,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Zotu69",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,355,266,903,335,277,261,1992,10676,2436,33,7,1,36,83,53,0,0,0,0,0,0,0,12,0,0,6,12,4
"70","Zotu70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4770,12814,2,0,0,0,0,162,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Zotu71",0,0,0,0,0,0,0,1504,0,0,0,0,1131,991,607,953,676,1161,0,0,358,425,254,438,310,275,1,2,2,1,1,2,0,2,2,0,1638,2282,2040,1677,1707,2270,2455,2701,613,2391,2329,2290
"72","Zotu72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1
"73","Zotu73",0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,59,1035,1118,358,4274,9327,5479,0,0,514,0,0,0,1,0,1,1,687,4,5
"74","Zotu74",0,0,0,0,0,0,0,903,0,0,0,0,1,6,11,8,6,5,0,0,54,90,11,23,75,104,0,0,1,1,2,0,0,1,0,0,1627,1536,1467,1895,1574,1674,1083,1454,249,855,975,1228
"75","Zotu75",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944,406,392,0,0,0,0,5011,2770,3139,2198,4026,2790,0,2,0,0,0,0
