"Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"Zotu1046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,163,55,47,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,55,233,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1049",160,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,1,6,0,0,0,1,2,1,7,4,10,2,0,0,0,0,0,0,0,0,2,1,3,3,1,1,0,2,1,0,0,1
"Zotu105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9035,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,52,42,126,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,21,17,0,8,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1054",0,0,0,0,0,0,0,1,0,0,0,0,8,5,4,7,5,26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,12,29,16,40
"Zotu1057",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,65,21,81,29,43,11,3,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0
"Zotu1058",0,0,28,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu106",0,0,0,73,0,0,0,94,0,0,0,0,287,28,37,27,58,183,0,0,83,121,100,342,20,49,324,104,194,57,220,46,53,31,54,0,1931,3044,1947,6576,3415,3306,109,452,120,204,208,361
"Zotu1061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,3,0,0,3,2,2
"Zotu1062",210,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,3
"Zotu1063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,9,1,0,1,5,0,0,0,0,0,0,0,16,22,11,36,17,39
"Zotu1067",0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,47,37,0,0,0,0,0,0,0,0,1,0,0,1,0
"Zotu1068",0,0,0,0,0,0,0,1,0,0,0,0,7,138,0,1,5,2,0,0,0,8,1,5,0,11,5,4,1,12,2,14,1,0,0,0,1,2,0,2,2,0,1,0,1,1,0,6
"Zotu1069",0,41,23,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,11,10,4,167,64,0,0,0,0,0,0,0,0,0,0,3,0,5,0,9,1,0,1,1,1,1,0
"Zotu107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,729,179,357,204,453,0,0,1,0,1260,3131,0,0,0,0,0,0,3382
"Zotu1070",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,59,26,21,47,54,6,2,0,0,6,0,1,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0
"Zotu1071",0,0,15,35,0,0,0,0,0,0,0,0,10,1,7,8,12,26,0,0,3,4,3,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,8,11,7,20
"Zotu1072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,49,29,103,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,9,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,84,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Zotu1077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1,0,105,13,1,224,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1078",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,22,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1079",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,114,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu108",0,8196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,8,0,9,146,2,1,1,8,1,2,1,0,0,0,0,14,5,1,3,13,1,1,0,16,7,0,0
"Zotu1083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1084",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,22,119,1,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1085",0,0,0,0,0,0,0,15,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,16,0,1,2,0,2,1,2,4,36,18,25,39,57
"Zotu1086",0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1087",0,0,35,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Zotu1088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,66,46,75,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu109",0,0,164,106,0,0,0,110,0,0,0,0,10,0,11,9,11,26,0,0,5,11,30,12,5,1,1,0,0,8,8,0,1,3,1,0,1169,1228,650,2455,842,1078,145,457,78,278,132,400
"Zotu1095",0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,1,6,0,0,7,76,14,20,30,13
"Zotu1096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,144,34,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1099",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu11",0,0,0,0,153,0,0,139865,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,4416,4630,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1101",0,0,39,61,0,0,0,2,0,0,0,0,5,3,3,10,1,9,0,0,30,65,44,71,20,64,23,4,4,8,15,1,3,4,6,0,0,0,0,0,0,1,0,4,0,0,0,1
"Zotu1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,5,11,17,45,75,0,0,0,0,0,0
"Zotu1106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,35,0,0,24,0,0,3,1,3,0,2,0,0,0,0,0,0
"Zotu1107",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,118,69,117,27,41,9,10,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0
"Zotu1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,144,8,44,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,2,0,0
"Zotu111",0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,7,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2737,3518,2760,0,0,0,0,1,1,0,2,2,1,3,1,3
"Zotu1110",0,0,0,5,0,0,0,1,0,0,0,0,76,9,28,6,37,4,0,0,20,4,30,0,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,3,3
"Zotu1111",0,0,0,0,0,0,0,0,0,0,0,0,31,3,22,46,21,51,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,2,0,0,1,0,0,1,0,0
"Zotu1112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,42,123,13,4,0,1,0,16,6,6,9,1,8,0,0,0,0,0,0
"Zotu1113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,29,6,37,7,149,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,23,67,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,20,0,3,0,0
"Zotu1115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,5,8,2,79,18,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1117",171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,19,56,3,22,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu112",0,0,2,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,714,432,2260,856,268,104,1,0,3,10,7,0,31,13,12,0,307,273,146,429,270,292,524,987,181,591,360,879
"Zotu1120",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,4,0,0,0,134,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Zotu1121",0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,1,3,3,13,4,9,58,47,5,2,1,0,0,0,1,0,5,4,5,1,3,1,3,2,0
"Zotu1122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,17,30,37,7,22,1,0,21,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Zotu1123",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,172,0
"Zotu1124",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,7,48,46,41,5,5,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,2
"Zotu1125",0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,1,0,3,0,0,43,24,0,32,0,0,20,20,45,0,0,0,2,6,3,0,0,0,0,0,0,0,2,11,2,5,6,2
"Zotu1127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,140,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,54,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
