"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"OTU_1043",71,60,36,55,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,3,4,3,7,0,0,0,0,0,0
"OTU_1044",0,0,0,0,0,0,0,0,0,0,0,0,74,70,81,37,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10440",0,0,0,0,0,0,3,0,0,0,11,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
"OTU_10447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1045",0,0,0,0,0,0,0,0,0,0,0,0,0,587,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,30,31,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"OTU_10462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"OTU_1047",0,0,0,0,0,0,14,0,0,6,0,16,68,136,89,12,5,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3
"OTU_1048",0,0,0,0,0,0,0,0,0,0,0,7,75,85,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1049",0,0,0,0,0,0,52,47,56,99,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10490",0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
