"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"95",7132,370,1863,1382,2589,101,0,0,0,0,0,0,0,0,0,16,10,0,53,132,100,0,0,0,0,0,0,0,0,12,32,0,103
"96",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,36,11,0,0,0,1862,1698,1311,1397,1363,1502,0,10,0,0,0,0
"97",1769,650,1656,884,1618,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8670,3228,64,4,4,3,0,6,0,3,0,3,3,3,0,6,7,0
"99",0,3,0,0,6,0,1057,697,564,710,952,664,235,157,116,0,0,0,8,6,0,0,5,0,0,0,0,185,188,46,219,104,202
"100",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"101",0,0,0,0,0,0,40,16,7,8,0,0,2972,2276,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",448,285,243,305,272,318,0,0,0,0,0,0,43,24,24,193,120,79,887,2376,850,64,25,27,28,36,20,127,113,58,111,204,91
"103",0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,863,7533,11,0,0,0,5,0,6,0,0,4,0,0,0,0,0,0
"104",0,0,0,0,5053,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,465,603,430,3182,4030,0,0,0,0,0,0,0,0,0,0,0,0
"106",144,76,62,66,116,155,1250,960,1099,918,1388,1151,764,44,52,6,0,0,0,4,0,32,32,26,12,22,13,0,0,0,0,0,0
"107",2157,1101,1231,1001,1068,1390,813,389,685,560,655,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,553,164,662,509,663
"108",0,0,0,0,0,0,0,0,0,0,0,0,49,34,22,2077,1492,816,524,1870,708,13,13,29,19,32,12,3,28,5,19,13,6
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,19,0,0,0,0,0,0,338,3580,370,2936,0,469
"110",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,314,7085,369,0,0,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,32,112,28,2375,1661,9192,0,0,4,4,0,0,0,3,0,0,0,0,0,0,0
"112",0,0,0,0,3,0,0,0,0,0,0,0,0,384,1024,112,1791,304,210,942,396,2271,1554,4407,1939,1569,1115,3,6,14,5,0,0
"113",2457,229,2038,2829,1375,411,0,0,0,0,0,0,0,0,0,128,28,7,0,0,0,180,165,272,426,680,0,0,0,0,0,0,0
"114",17,13,9,11,13,10,355,256,111,157,246,187,2085,1177,2741,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0,0,0,0,0,0,0,8804,296,2942,513,444,187,1123,1936,0,0,0,0,0,0,0,0,0,0,0,0
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0,57,9,0,0,0,7460,0,0,0,0,0
"118",0,0,0,0,0,0,0,0,0,0,0,0,0,4713,2765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",131,185,122,149,110,267,862,1147,1049,1981,627,1209,0,0,0,0,0,0,0,0,0,364,423,155,237,141,225,38,111,31,122,94,102
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",0,0,0,0,0,0,0,0,0,0,0,0,8358,186,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",1575,1107,1045,1037,1076,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5852,6715,3622,0,0,0,0,0,3,35,51,10,16,50,15
"124",119,82,69,90,71,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,30,25,29,19,1297,1595,196,976,1080,1291
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6774
"126",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,356,1286,700,0,0,0,949,24,989,11,2386,139,0,0,4,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,8570,227,0,0,0,0,0,0,3,7,0,0,0,0
"129",1574,521,586,508,602,813,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,421,165,836,411,604
"131",0,0,0,0,0,3,122,72,0,0,111,149,88,190,401,1190,1675,1825,0,0,0,7,23,19,28,45,41,0,0,0,0,0,0
"132",0,0,0,0,0,0,271,857,300,1233,244,487,0,0,0,0,0,0,0,0,0,9,11,7,9,3,0,238,567,81,418,455,513
"133",1436,1328,662,937,666,1457,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,18,8
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2954,2271,1016,544,1742,774,9,7,13,21,12,15,3,13,0,8,15,4
"135",0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,969,401,252,134,336,128,399,176,89,172,141,124,402,452,111,467,546,436
"136",1063,937,794,842,709,1018,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,5,17,25,16
"137",18,12,9,7,12,8,279,589,177,476,208,378,0,0,0,8,3,0,0,0,0,2936,4055,3617,3053,3005,3998,393,579,116,385,362,419
"138",0,0,0,0,0,0,1051,685,921,977,1378,963,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0,4,0,0,0,0,2539,1226,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",2473,1142,1454,1745,1404,2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",3157,2316,2008,2245,1694,2868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,3,11,6,20
"143",0,0,0,0,0,0,0,14,10,0,0,7,1525,1860,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4698,2429,468,0,0,0,9,15,7,6,9,12,0,0,0,0,0,0
"145",0,0,0,0,0,0,3,6,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,0,12,0,0,0,1890,1633,1643,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,1649,1439,1221,1226,1680,34,38,14,49,56,35
"149",0,0,0,0,0,0,0,0,0,0,0,0,6,11,9,51,13,19,115,436,224,151,47,42,10,4,18,148,243,114,130,41,87
"150",1240,560,622,513,590,958,171,134,135,140,218,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,64,6,34,90,20
"151",121,115,194,209,151,213,0,0,0,0,0,0,214,23,61,13,8,6,0,0,0,819,450,353,447,395,413,0,0,36,0,21,0
"152",6,0,0,3,0,3,91,32,91,50,79,15,580,44,53,852,137,52,55,72,33,271,80,131,68,174,41,16,18,15,41,37,36
"153",0,3,0,5,0,0,6,5,18,20,7,21,419,1155,972,1059,725,362,586,1409,543,4,10,5,10,19,10,12,29,0,10,7,0
"154",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3210,5729,3790,60,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,78,93,47,85,69,0,0,4,335,1264,0,0,0,0,0,0,2619
"156",5,3,8,7,5,10,0,0,0,0,3,0,0,0,0,21,0,4732,0,0,0,0,5,3,0,0,4,10,0,0,0,0,0
"157",510,488,245,536,326,570,297,303,233,288,249,244,4,0,0,0,0,0,0,0,0,444,702,532,482,425,573,757,1039,218,1003,712,897
"158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,2267,1872,1633,1528,2092,70,102,26,108,70,110
"159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5310,0,0,5,47,11,0,0,0,0,0,0,0,3,17,22,23,0
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,1401,125,553,95,505,99,1695,267,0,116,332,0
"161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,390,25,0,0,0,0,0,0,0,4385,0,0,0,0
