"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"69",0,0,0,0,0,0,355,266,903,335,277,261,1992,10676,2436,33,7,0,36,83,53,0,0,0,0,0,0,12,0,0,6,12,4
"70",0,0,0,0,0,0,0,0,0,0,0,0,4770,12814,0,0,0,0,0,162,7,0,0,0,0,0,0,0,0,0,0,0,0
"71",1131,991,607,953,676,1161,358,425,254,438,310,275,0,0,0,0,0,0,0,0,0,1638,2282,2040,1677,1707,2270,2455,2701,613,2391,2329,2290
"73",0,0,0,0,0,0,0,0,0,0,0,0,94,0,59,1035,1118,358,4274,9327,5479,0,514,0,0,0,0,0,0,0,687,4,5
"74",0,6,11,8,6,5,54,90,11,23,75,104,0,0,0,0,0,0,0,0,0,1627,1536,1467,1895,1574,1674,1083,1454,249,855,975,1228
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944,406,392,0,0,0,5011,2770,3139,2198,4026,2790,0,0,0,0,0,0
"76",856,569,576,566,498,665,610,617,395,641,442,301,0,0,4,8,0,4,0,0,0,1811,2545,2239,1742,1953,2501,444,583,109,550,539,528
"77",33,7,14,9,17,9,45,13,12,9,0,12,1854,867,768,2543,1819,835,1177,3601,1500,136,28,72,25,84,37,103,61,24,42,98,31
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0
"79",68,24,40,20,56,53,3,0,0,17,0,0,0,0,0,0,0,0,3,3,3,2056,2415,3813,3674,2246,1362,84,97,24,58,46,69
"81",2476,1788,2288,1869,2187,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",1251,0,9,0,7,0,4,5814,2257,21,0,0,0,5,147,5,0,21,83,120,17,0,5,3,4,5075,3230,22,3667,1392,32,1335,26
"83",0,0,0,0,0,0,3670,2028,2787,2659,2755,1705,30,18,28,0,0,0,0,0,0,25,20,24,33,23,24,36,45,12,51,24,49
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14790,14,384,0,0,0,0,0,0,13,12,0,53,28,9
"85",2444,2030,1595,1916,1564,1846,819,953,741,520,1080,1310,22,0,9,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,7,0
"86",11,7,10,14,11,13,9,12,4,12,5,19,1359,318,240,2472,1090,623,1478,4977,1627,292,133,182,125,199,166,85,116,42,93,118,80
"87",1080,3,13071,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0
"88",3200,916,2269,1638,2248,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",0,0,0,0,0,0,6016,2336,3602,4361,3864,2877,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",19,14,7,13,15,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,7,5,5,6,28,29,6,17,19,15
"91",820,486,491,466,713,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,258,185,253,264,259,2428,3051,693,3604,2454,3032
"92",626,459,219,308,316,191,378,187,331,133,547,183,1621,6660,1711,155,73,149,49,57,75,103,98,130,58,68,52,40,24,4,25,41,11
"93",1182,986,674,976,706,1054,307,323,205,306,199,214,0,3,0,0,0,4,0,0,0,1485,2095,1916,1619,1612,2042,1267,1737,395,1451,1242,1440
"94",341,297,249,287,217,302,77,95,47,137,32,63,0,0,0,0,3,0,0,0,0,1028,1391,1241,1005,1007,1410,606,774,224,706,656,564
"95",5,8,6,5,13127,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,5,0
"96",2121,72,952,44,1026,56,89,9,111,3,193,0,15,10,3,485,119,68,224,653,238,698,132,1108,128,1189,259,838,34,279,48,907,42
"97",969,669,452,756,570,832,102,109,69,104,91,93,0,0,0,0,0,0,0,0,0,595,889,737,649,692,888,717,808,204,662,769,663
"98",0,0,0,0,0,0,2176,2404,1259,2586,1645,1744,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",56,18,57,23,56,53,4,3,11,8,0,0,0,0,0,0,0,0,0,0,0,4,8,12,21,17,8,16,8,3,25,12,20
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,9885,1451,0,0,0,0,0,0,0,4,0,4,0,0
"103",2173,1999,1532,1847,1405,1826,750,800,574,430,916,1167,7,4,6,7,0,0,0,0,0,5,0,0,0,0,0,3,17,0,4,11,12
"104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,657,62,0,0,0,385,0,0,5810,4692,24,1712,3430,0
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,352,31,2637,7063,2435,0,0,0,0,0,0,0,0,0,0,0,0
"106",68,14,24,0,216,7,135,125,58,0,163,26,3102,3892,2072,0,0,0,112,257,135,0,0,0,0,0,0,0,0,0,3,0,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,159,77,0,5,0,3850,811,2740,499,2290,662,0,0,0,0,0,0
"108",1263,1056,761,1006,738,1148,150,111,94,123,98,96,0,0,0,0,0,0,0,0,0,1074,1523,1374,1064,1089,1486,1356,1669,414,1362,1208,1384
"109",6,0,0,0,0,0,3610,2678,2781,4121,2586,3072,6,0,0,6,0,0,0,0,0,280,381,276,287,271,290,29,32,6,13,11,18
"110",0,0,0,0,0,0,24,28,51,33,0,0,16376,13865,11138,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2899,3688,9,7015,299,3754
"113",3,0,0,0,0,0,5,0,0,0,0,0,28,16,15,2889,2394,1188,545,1710,540,177,35,81,47,138,73,62,43,16,20,59,16
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,2009,1721,1504,1481,2010,50,31,23,54,38,55
"115",4409,2162,2837,2193,2626,3884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",774,526,375,490,346,567,32,38,19,40,28,25,0,0,0,6,0,0,0,0,0,983,1376,1150,1065,1046,1532,1288,1868,438,1594,1522,1497
"117",0,0,0,0,0,0,125,60,337,125,231,18,962,6374,1094,7,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",10,24,7,13,9,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,32,44,31,35,34,45,29,28,9,23,26,22
"120",0,0,0,0,0,0,0,0,0,0,0,0,277,9558,5480,18,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",14,13,6,8,4,19,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,6,15,11,7,10,15,10,14,0,13,13,17
"123",0,0,0,0,0,0,4,4,0,4,20,9,562,930,7354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",555,482,344,459,297,492,75,58,46,58,42,65,0,0,0,0,0,0,0,0,0,381,481,427,351,317,423,806,924,227,728,681,746
"125",1003,372,678,529,573,528,2028,1568,1359,1452,2007,1594,94,119,76,4,0,0,0,6,0,218,211,183,197,228,140,8,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,26,0,0,0,0,0,0,3230,1694,459,2457,3417,2669
"127",15,28,8,13,6,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,50,50,33,38,50,8,50,5,37,15,23
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0,0,0,0,9568,0,0
"129",7117,370,1858,1379,1993,100,0,0,0,0,0,0,0,0,0,16,10,0,53,131,99,0,0,0,0,0,0,0,0,12,32,0,103
"130",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,36,11,0,0,0,1862,1698,1311,1397,1363,1502,0,10,0,0,0,0
"131",1760,648,1638,877,1596,2251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8670,3215,64,0,3,0,0,6,0,3,0,0,0,0,0,0,0,0
"133",0,3,0,0,6,0,1057,697,564,710,952,664,144,61,36,0,0,0,8,6,0,0,5,0,0,0,0,185,188,46,219,104,202
"134",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,0,4,0,0,0,3
"137",0,0,0,0,0,0,40,16,7,8,0,0,2972,2276,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",448,285,243,305,272,318,0,0,0,0,0,0,43,24,24,193,120,79,887,2376,850,64,25,27,28,36,20,127,113,58,111,204,91
"140",0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,863,7533,11,0,0,0,5,0,6,0,0,4,0,0,0,0,0,0
"143",0,0,0,0,5053,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,465,603,430,3182,4030,0,0,0,0,0,0,0,0,0,0,0,0
"145",144,76,62,66,116,155,1250,960,1099,918,1388,1151,764,44,52,6,0,0,0,4,0,32,32,26,12,22,13,0,0,0,0,0,0
"148",2157,1101,1231,999,1068,1390,813,389,685,560,655,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,553,164,662,509,663
"149",0,0,0,0,0,0,0,0,0,0,0,0,17,20,5,2077,1491,816,522,1866,708,13,13,29,19,32,12,3,27,5,18,13,5
"150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,19,0,0,0,0,0,0,338,3580,370,2936,0,469
"151",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,314,7085,369,0,0,0,0,0,0,0,0,0,0,0,0
"152",0,0,0,0,0,0,0,0,0,0,0,0,32,112,28,2227,1607,8773,0,0,4,4,0,0,0,3,0,0,0,0,0,0,0
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,1712,164,5,255,218,2246,386,3874,1193,943,272,0,0,14,0,0,0
"156",2376,228,898,2418,1331,343,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,13,5,8,0,0,0,0,0,0,0
"158",17,13,9,11,13,10,355,256,111,157,246,187,2085,1177,2741,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,8774,296,2863,500,439,137,801,1070,0,0,0,0,0,0,0,0,0,0,0,0
"161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7460,0,0,0,0,0
"163",0,0,0,0,0,0,0,0,0,0,0,0,0,4713,2765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",119,165,109,139,104,248,662,873,740,1456,516,955,0,0,0,0,0,0,0,0,0,342,399,147,225,136,214,12,20,7,38,24,23
"166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0,0,0,8341,183,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,1373,1268,1064,979,1380,12,24,9,21,18,7
"171",2812,2326,1647,2258,1586,2554,344,230,139,253,139,175,0,0,0,3,0,0,0,3,0,1814,2274,2096,1750,1788,2377,1244,1443,348,1340,1142,1203
"173",1575,1107,1045,1037,1076,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5638,6674,3482,0,0,0,0,0,3,34,51,10,16,50,15
"175",119,82,69,90,71,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,30,25,29,19,1297,1595,196,976,1080,1291
"176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6774
"177",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,356,1286,700,0,0,0,949,24,989,11,2386,139,0,0,4,0,0,0
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,8570,227,0,0,0,0,0,0,3,7,0,0,0,0
"182",17,9,8,11,5,19,6,5,14,8,14,13,0,0,0,0,0,0,0,0,0,475,714,533,533,542,731,423,583,170,529,386,465
"183",1565,516,578,507,599,809,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,420,165,834,411,603
"186",343,323,180,284,205,345,10,7,15,20,0,8,0,0,0,0,0,0,0,0,0,295,369,338,283,328,376,535,820,163,627,541,619
"189",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,0,7,0,0,0,0,0,0
"190",1082,351,543,369,488,538,937,505,843,568,820,413,12,0,0,0,0,0,3,10,0,10,4,19,3,23,11,407,398,110,365,444,429
"191",0,0,5,6028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",0,0,0,0,0,3,122,72,0,0,111,149,88,190,401,1190,1675,1825,0,0,0,7,23,19,28,45,41,0,0,0,0,0,0
"195",0,0,0,0,0,0,271,857,300,1233,244,487,0,0,0,0,0,0,0,0,0,9,11,7,9,3,0,238,567,81,418,455,513
"196",1436,1328,662,937,666,1457,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,18,8
"198",6,4,3,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,5,4,8,10,3,4,12,12
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952,2271,1015,544,1743,774,9,7,13,21,12,15,3,13,0,8,15,4
"200",0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,969,401,252,134,336,128,399,176,89,172,141,124,402,452,111,467,546,436
"203",1063,937,794,842,709,1018,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,5,17,25,16
"204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,3,2715,19,2682,8,0,3,9,0,0,0,0,0,0
"205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,836,1221,1064,868,873,1080,37,67,9,40,37,27
"206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,43,4,19,4,10,14,0,3,0,0,0,0
"209",0,0,0,0,0,0,1051,685,921,977,1378,963,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",0,0,0,0,0,0,0,4,0,0,0,0,2539,1226,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",326,217,174,230,192,264,15,13,0,20,0,7,0,0,0,0,0,0,0,0,0,517,735,580,518,580,794,247,342,67,262,258,282
"213",2473,1142,1454,1745,1404,2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",3156,2314,2008,2245,1693,2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,3,11,6,20
"218",0,0,0,0,0,0,0,14,10,0,0,0,1510,1835,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4698,2429,468,0,0,0,9,15,7,6,9,12,0,0,0,0,0,0
"221",0,0,0,0,0,0,3,6,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0,0,12,0,0,0,1890,1633,1643,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0
"225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,1150,1025,880,875,1169,27,31,13,32,32,26
"226",0,0,0,0,0,0,0,0,0,0,0,0,6,11,9,46,11,19,114,432,224,151,46,42,10,4,18,148,243,114,130,41,87
"227",1240,560,622,513,590,958,171,134,135,140,218,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,64,6,34,90,20
"228",9,0,0,0,0,4,7,9,19,21,9,15,0,0,0,0,0,0,0,0,0,552,749,667,571,585,698,172,216,33,145,106,186
"229",121,115,194,209,151,213,0,0,0,0,0,0,214,23,61,13,8,6,0,0,0,819,450,353,447,395,413,0,0,36,0,21,0
