"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"72",0,0,0,0,0,0,0,0,0,0,0,0,219,182,307,2482,3782,7175,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62,27,0,0,0,140,0,119,0,257,0,0,0,0,0,0,0
"75",4,0,3,0,0,7,1603,2273,1486,3511,1557,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,111,44,97,68,176
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,1788,3391,1037,3181,1852,2015,8,28,0,28,5,56
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,33,247,86,0,0,0,0,0,0,0,0,0,0,0,0
"78",3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,5
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,11,0,3,0,0,0,0,0,0
"82",0,0,0,0,3,5,0,0,3,12,0,12,0,26,4077,1337,1202,868,1949,2543,68,23,32,6,15,7,9,54,206,35,72,40,70
"83",0,0,0,0,0,0,0,0,0,0,0,0,11127,185,331,0,0,0,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"84",7,3,5,6,16,28,0,0,0,0,0,0,4,0,4,7421,4776,18,8,0,0,3,3,0,5,6,4,4,9,4,6,5,4
"85",21,0,17,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,32,0,0,0,1800,2825,893,1845,798,899,169,551,240,359,276,522
"88",0,0,0,0,0,0,207,232,342,769,396,549,138,44,26,352,1037,164,49,9,13,360,839,110,333,1653,2082,100,348,72,135,57,144
"89",0,0,0,26,19,62,52,148,198,225,780,160,20,0,10,0,5,0,4,4,15,0,0,0,0,0,0,567,2656,601,1657,721,2975
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,3725,2700,1397,5519,1753,69,137,45,0,0,0,0,0,0,0,0,0,0,0,0
"91",66,3,13,31,28,48,3087,2237,1875,1084,293,1155,6,3,11,17,0,4,15,0,39,53,3,9,23,14,0,33,232,33,3,139,6
"92",50,5,16,14,15,36,8,4,4,11,7,3,21,5,0,0,0,0,5,0,8,0,4,0,8,6,5,18,76,21,71,51,103
"93",0,0,0,0,0,0,74,80,112,116,45,74,0,0,0,0,4,0,0,0,0,1621,1984,880,2198,1120,1382,60,186,45,103,62,138
"94",0,0,0,0,9,8,51,60,108,233,77,129,0,0,14,3,0,0,0,0,0,18,29,16,48,3,9,0,18,0,9,3,5
"95",11,0,0,0,3,12,0,0,0,0,0,0,0,26,11,26,34,5,40,19,16,0,0,0,0,0,0,780,2650,470,1789,1015,3362
"99",0,0,0,0,0,0,0,0,0,0,0,0,19,9,18,2296,2413,4425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",3,0,0,13,49,47,0,0,0,0,0,0,0,0,0,16,15,3,0,0,0,111,274,447,1304,1091,628,524,1627,345,964,365,1061
"102",8,0,4,0,10,19,560,816,1572,3914,362,832,4,8,9,0,0,0,0,4,0,23,32,464,36,17,19,21,62,24,34,23,65
"104",173,13,18,11,24,91,72,80,70,245,16,32,274,86,169,32,116,30,37,18,38,1539,2440,1727,5778,3045,2976,94,394,107,181,188,324
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,681,169,331,186,434,0,0,0,1152,2905,0,0,0,0,0,0,3123
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,30,94,49,55,9,53,12,23,10,18
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,208,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",14,9,3,7,7,15,0,0,0,0,0,0,0,0,0,0,0,0,2499,3196,2461,0,0,0,0,0,0,0,0,0,3,0,0
"110",0,0,0,0,0,0,15,3,33,7,3,0,0,0,0,0,0,0,0,0,0,8,13,4,11,10,9,7,29,3,12,11,16
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",63,7,8,13,20,47,0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,57,11,39,18,70
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,217,7040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0,0,0,0,0,0,2371,466,2925,138,151,72,102,66,91,250,0,134,0,0,0,0,0,0,0,0,0
"116",0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,29,28,40,8,358,888,520,1631,615,1536
"117",0,0,0,0,0,0,0,0,0,0,0,0,9,6,14,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7436
"118",23,6,0,15,0,26,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,4,0,0,0,0,849,2609,270,573,211,459
"119",644,167,237,411,541,1462,16,16,19,58,0,18,0,0,0,0,0,0,0,0,0,8,8,0,13,6,3,224,837,281,783,420,1141
"120",21,30,7,4,35,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,13,79,16,15,6,0
"121",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,340,459,64,19,16,28,0,0,0,0,0,0,0,0,0,0,0,0
"122",1936,530,234,1173,565,1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,65,20,49,67,80
"123",0,7,0,6909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",15,0,6,14,38,22,833,1293,644,1701,1024,2354,162,100,390,25,513,15,48,30,42,203,386,65,206,132,169,308,1320,289,675,261,471
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1643,34,403,1550,3084,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,99,75,89,136,88,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",0,0,0,0,0,0,0,0,4,20,0,4,2054,1478,293,779,4750,259,122,51,25,10,24,4,18,13,10,0,0,0,0,0,3
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,28,17,137,0,0,0,0,0,0,0,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1556,3628,702,12,85,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",2761,406,368,622,869,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,48,8,96,11,42
"137",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,3,0,0,0,1098,1375,507,1553,848,845,0,11,0,3,0,0
"140",38,9,10,28,31,95,0,0,0,0,0,0,0,0,0,0,0,0,3561,2045,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",0,0,0,0,0,0,645,1655,792,1709,147,37,322,29,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",3,0,0,6,4,6,521,557,668,991,417,515,0,4,0,0,0,0,0,0,0,0,4,3,0,3,3,148,460,177,324,232,560
"144",208,76,71,163,183,296,117,62,98,103,118,36,1786,355,669,34,54,27,260,139,317,997,1278,488,1066,663,808,294,461,369,451,450,693
"146",0,0,0,0,7,0,0,750,0,6,1998,1662,0,0,0,0,0,0,0,0,0,5,301,3,4,36,3,0,0,0,126,0,0
"148",356,20,85,30,458,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,3,0,0,0
"149",5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1808,903,2513,0,0,0,0,0,0,0,7,0,5,6,6
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1989,963,1916,0,0,0,0,0,0,0,0,0,0,0,0
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,56,131,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",2653,125,1775,782,5406,188,0,0,0,0,0,0,0,0,0,0,0,0,119,45,100,0,0,4,0,9,0,0,0,77,29,0,4
"155",1125,6,430,590,705,189,0,0,296,0,0,0,887,169,178,13,18,5,48,41,29,164,102,165,220,576,44,684,912,254,170,566,773
"156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,3007,440,133,86,229,0,0,0,0,0,0,0,0,0,0,0,0
"157",0,0,0,0,0,0,0,0,0,0,0,0,719,711,1586,328,1042,95,107,143,31,0,0,0,0,0,0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,41,25,428,19,14,182,653,363,640,687,1585
"160",1058,207,360,634,703,1815,0,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,17,43,22,61
"161",97,14,30,41,53,180,6,26,22,64,16,33,7,11,3,0,0,0,0,0,0,365,546,203,622,204,283,139,483,147,455,220,600
"162",9,0,0,0,4,4,0,7,13,46,6,7,15,15,24,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"163",0,0,0,0,0,0,0,0,0,0,0,0,17,1637,2942,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,308,4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",1851,362,252,495,452,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,3,17,8,3,0,3,0,0,0,0
"167",0,0,0,0,0,0,0,0,0,0,0,0,584,139,104,102,219,24,949,672,2162,0,0,0,0,0,0,0,0,0,0,0,0
"168",1856,308,221,303,488,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,59,54,356,332,238,168,724,158,487,287,983
"169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,6,7,0,0,0,0,0,0
"170",0,0,0,0,0,0,0,0,0,0,0,0,2250,1403,0,9,603,22,45,220,131,0,0,0,0,0,0,0,0,0,0,0,0
"171",38,4,5,7,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",212,68,78,178,122,462,0,3,0,0,0,5,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0,160,1006,141,486,406,880
"173",41,3566,16,19,25,38,0,0,0,0,0,0,0,0,0,0,0,0,950,14,434,3,3,0,0,0,0,4,7,4,4,0,14
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,285,11,2866,2284,2430,0,0,0,0,0,0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2437,2076,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,290,0,0,0,0,0,0,19,0,0,7,12,0
"177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,58,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",37,24,9,32,23,40,0,0,0,0,0,0,23,3,12,21,13,0,738,798,961,4,0,0,0,0,0,111,207,98,149,166,221
"179",0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",6,0,3,6,4,18,126,97,286,264,86,49,76,8,16,0,0,0,3,3,5,757,869,279,1547,254,480,100,272,87,213,114,335
"181",0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,588,393,885,961,845
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,938,1614,66,786,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",0,0,0,0,0,311,0,0,0,0,0,0,0,30,219,8,489,27,58,58,194,165,433,1984,1814,303,643,34,0,6,0,0,0
"184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518,2720,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",44,3,8,24,20,64,0,0,0,0,0,0,0,0,0,3,0,0,14,25,32,3,0,0,8,0,7,233,806,221,643,390,1136
"186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,30,23,16,0,0,0,0,0,0
"187",0,0,0,0,0,0,0,0,0,0,0,0,0,12,52,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,0,0,0,2803,143,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0,0,0,27,81,2523,88,561,54,18,17,8,0,3,0,0,0,0,0,0,0,0,0,0
"190",6,0,16,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3690,0,0
"191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,705,2232,0,0,0,0,0,0,0,0,0,0,0,0
"193",0,0,0,0,0,0,918,931,839,1642,777,1351,0,0,0,0,0,0,0,0,0,74,144,52,117,70,82,3,0,0,0,0,4
"195",458,11,57,11,29,487,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,415,920,289,165,375,448
"196",19,20,11,11,42,55,0,0,0,0,1792,1016,51,13,0,27,39,7,0,0,4,4,4,3,0,0,0,0,0,0,0,0,0
"197",17,9,4,17,17,42,559,587,624,961,728,892,0,0,0,0,0,0,0,0,0,20,30,16,29,21,28,18,62,18,60,38,77
"198",0,0,0,0,0,0,0,0,0,0,0,0,0,125,2563,984,1342,673,0,0,0,0,0,110,105,665,47,0,0,0,0,0,0
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,110,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0,0,4,6,4,8,1790,588,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",0,0,0,0,0,0,0,0,0,0,0,0,2799,5,3,113,62,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"203",4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626,3457,5612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,373,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",781,69,72,90,171,312,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,660,1209,570,2514,1157,1102,0,33,0,10,0,8
"208",6,0,0,10,3,4,0,0,0,0,0,0,0,0,0,21,23,0,274,15,31,195,320,96,254,38,394,126,516,225,293,486,430
"209",209,53,113,176,227,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,175,179,744,227,200,5,53,0,12,14,43
"210",0,0,0,3,0,0,25,29,10,9,21,26,0,0,0,0,0,0,0,0,0,249,377,156,603,279,360,66,249,55,110,137,283
"212",0,0,0,0,0,0,371,471,168,405,474,942,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",0,0,0,0,0,0,0,0,0,0,0,0,0,18,48,851,801,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0,0,0,0,0,0,0,1545,2205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",0,0,0,0,0,0,0,0,0,0,0,0,119,80,738,334,1403,230,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,107,1649,221,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,590,108,1009,633,879,0,0,0,0,0,0,0,0,0,0,0,0
"218",0,0,0,0,0,0,0,0,0,0,0,0,64,212,342,743,792,897,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0
