"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"Zotu1085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,16,0,0,0,0,0,0,4,36,18,25,39,57
"Zotu1086",0,0,3,3,5,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,66,46,75,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu109",10,0,11,9,11,26,5,11,30,12,5,0,0,0,0,8,8,0,0,3,0,1169,1228,650,2455,842,1078,145,457,78,278,132,400
"Zotu1095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,76,14,20,30,13
"Zotu1096",0,0,0,0,0,0,0,0,0,0,0,0,144,34,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu110",0,0,0,0,0,0,0,0,0,3,0,0,0,4416,4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1101",5,3,3,10,0,9,30,65,44,71,20,64,23,4,4,8,15,0,3,4,6,0,0,0,0,0,0,0,4,0,0,0,0
"Zotu1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,11,17,45,75,0,0,0,0,0,0
"Zotu1106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,35,0,0,24,0,3,0,3,0,0,0,0,0,0,0,0
"Zotu1107",0,0,0,0,0,0,0,0,0,0,0,0,118,69,117,27,41,9,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1109",0,0,0,0,0,0,0,0,0,0,0,0,144,8,44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu111",14,11,3,7,7,15,0,0,0,0,0,0,0,0,0,0,0,3,2737,3518,2760,0,0,0,0,0,0,0,0,0,3,0,3
"Zotu1110",76,9,28,6,37,4,20,4,30,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"Zotu1111",31,3,22,46,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1112",0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,42,123,13,4,0,0,16,6,6,9,0,8,0,0,0,0,0,0
"Zotu1113",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,29,6,37,7,149,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1114",0,0,0,0,0,0,12,16,23,67,0,37,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,20,0,3,0,0
"Zotu1115",0,0,0,0,0,0,4,6,5,5,8,0,79,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1119",0,0,0,0,0,0,15,16,19,56,3,22,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu112",0,0,0,0,0,0,714,432,2260,856,268,104,0,0,3,10,7,0,31,13,12,307,273,146,429,270,292,524,987,181,591,360,879
"Zotu1120",0,0,0,0,0,0,0,0,4,0,0,0,134,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1121",0,0,0,0,0,3,0,0,0,0,3,3,13,4,9,58,47,5,0,0,0,0,0,0,5,4,5,0,3,0,3,0,0
"Zotu1122",0,0,0,0,0,0,10,17,30,37,7,22,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1124",0,0,0,0,0,0,8,5,0,7,48,46,41,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1125",3,0,0,0,0,3,43,24,0,32,0,0,20,20,45,0,0,0,0,6,3,0,0,0,0,0,0,0,11,0,5,6,0
"Zotu1127",0,0,0,0,0,0,0,0,9,0,0,0,140,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1129",0,0,0,0,0,0,0,0,0,0,0,0,44,54,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,41,9,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1131",0,0,0,0,0,0,0,0,0,5,0,0,58,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,106,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1134",0,0,0,0,0,0,0,0,0,0,0,0,92,86,146,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1136",0,0,0,0,0,0,0,0,0,20,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1142",40,11,11,17,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1144",0,0,0,0,0,0,0,0,7,83,0,0,44,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Zotu1145",0,0,0,0,0,0,3,0,0,0,0,0,6,5,6,0,0,0,51,45,48,0,0,0,0,0,0,0,0,4,0,9,0
"Zotu1147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,20,8,24,4,38
"Zotu115",1844,424,446,639,770,2102,139,139,154,374,0,54,0,0,0,0,0,0,0,0,0,27,24,46,220,59,98,592,2024,474,1230,781,1901
"Zotu1150",0,0,0,0,0,0,4,4,0,5,5,17,26,17,18,50,0,0,22,4,0,4,0,0,0,0,0,0,0,0,0,0,0
"Zotu1151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,58,0,0,0,0,0,0,0,0,0,0,0,6
"Zotu1152",0,0,0,0,0,0,0,0,0,0,0,0,166,66,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1153",0,0,0,0,0,0,0,0,0,0,6,7,86,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1154",0,0,0,0,0,0,3,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,0,0,5
"Zotu1158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,88,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,25,67,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,233,7545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1160",3,0,0,0,0,0,0,8,19,14,0,0,15,16,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,66,56,27,0,0,0,0,0,0,3,15,6,0,0,4
"Zotu1162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,33,9,19,21,3,3,0,5,0,4
"Zotu1163",0,0,0,0,0,0,0,0,0,0,0,3,17,5,5,198,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,203,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1167",58,3,5,11,19,60,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"Zotu117",0,0,0,0,0,0,0,0,0,0,0,0,3828,575,3342,159,185,97,119,74,105,287,0,151,0,0,0,0,0,0,0,0,0
"Zotu1170",3,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,4,10
"Zotu1171",28,0,9,13,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5
"Zotu1172",0,0,0,0,0,0,0,0,0,0,0,0,97,46,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1175",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39,10,48,9,31
"Zotu1176",0,0,0,0,0,0,0,20,7,16,40,68,9,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1178",0,0,0,0,0,0,0,0,0,0,0,0,74,26,22,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
