"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"76",0,0,0,0,0,0,0,0,0,0,0,0,21,27,73,3504,3648,7127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",17,3,0,17,58,56,0,0,0,0,0,0,0,0,0,18,18,3,0,0,3,148,367,571,1679,1271,737,575,1824,381,1072,396,1182
"78",10,3,4,0,10,20,588,852,1650,4114,384,882,4,9,9,0,0,0,0,4,0,41,56,530,279,29,26,110,413,186,405,345,869
"79",0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,9037,0,0,0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,729,179,357,204,453,0,0,0,1260,3131,0,0,0,0,0,0,3382
"82",1923,958,491,1798,1273,3179,631,425,2045,777,281,95,12,5,4,22,25,0,37,20,13,2809,3011,1735,6046,2348,2919,1687,5189,1231,3085,2168,3827
"83",0,0,0,0,0,0,0,0,0,3,0,0,0,4416,4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",14,11,3,7,7,15,0,0,0,0,0,0,0,0,0,0,0,3,2737,3518,2760,0,0,0,0,0,0,0,0,0,3,0,3
"85",1860,424,448,640,775,2110,139,139,154,376,0,54,0,0,0,0,0,0,0,0,0,27,24,46,221,60,98,594,2032,475,1244,782,1907
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,234,7569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,0,0,0,0,0,2743,528,3311,154,181,93,111,68,102,287,0,151,0,0,0,0,0,0,0,0,0
"88",0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3,11,0,8,0,5,4,5,30,29,42,8,371,925,535,1726,631,1612
"89",24,6,0,16,3,29,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,5,5,0,0,0,0,934,2989,288,643,221,485
"90",696,184,260,448,603,1560,19,17,19,59,0,19,0,0,0,0,0,0,0,0,0,8,8,0,14,6,3,237,881,290,843,439,1182
"91",0,0,0,0,0,0,0,0,0,0,0,0,656,293,145,3933,4543,906,851,733,425,0,0,0,0,0,0,0,0,0,0,0,0
"92",2060,566,269,1241,598,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,69,20,51,70,85
"93",0,804,0,7541,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,3,0,0,5,3,0,4,0,0,0,0
"96",0,0,0,0,0,0,0,4,0,0,0,0,33,7,0,3,12,0,0,0,0,4,6,0,5,0,8,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,109,1864,45,474,1693,3758,0,0,0,0,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,4,20,0,5,2166,2471,615,844,5034,285,133,54,29,10,26,4,19,14,12,0,0,0,0,0,10
"99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1728,4044,810,13,88,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2951,434,404,669,935,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51,8,100,11,46
"101",0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,18,3,0,0,0,1153,1452,551,1653,906,900,0,13,0,3,0,0
"103",46,12,11,34,38,110,0,0,0,0,0,0,0,0,0,0,0,0,5449,2999,2047,0,0,0,0,0,0,0,7,0,3,4,5
"104",0,0,0,0,0,0,664,1717,821,1786,156,38,333,30,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",13,0,9,14,16,33,541,573,694,1030,428,543,0,4,0,0,0,0,0,0,0,0,4,3,0,3,4,158,509,196,358,262,614
"106",0,0,0,0,0,0,7,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",235,92,75,186,208,338,146,104,139,158,161,110,2256,436,829,55,84,33,299,164,359,1087,1401,531,1161,729,878,314,499,382,489,475,740
"109",0,0,0,0,7,0,0,762,0,6,2049,1698,0,0,0,0,0,0,0,0,0,6,323,3,4,38,3,0,0,0,135,0,0
"110",3,0,0,0,0,0,0,0,0,0,0,0,0,485,1415,44,1118,36,2219,1073,2156,0,0,0,0,0,0,0,3,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,1335,3179,99,0,684,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"112",1223,7,484,641,770,203,0,0,317,0,0,0,961,215,222,15,22,5,51,47,34,175,109,179,234,623,49,733,1000,269,185,602,828
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,3363,506,145,93,253,0,0,0,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,750,796,1761,361,1188,121,600,402,982,0,0,0,0,0,0,0,0,0,0,0,0
"115",100934,4893,18026,11405,83956,3508,0,3,3,0,606,0,68,304,176,751,457,9,9390,4959,8638,0,0,0,0,0,0,0,7,3709,972,0,375
"116",1147,227,392,687,790,1989,0,13,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,42,31,64,26,89
"117",103,14,35,47,61,194,392,520,194,482,502,1025,15,11,4,0,0,0,0,0,0,396,592,217,673,217,311,148,515,162,505,228,631
"118",265,13,44,8,35,118,26,280,464,1495,217,360,555,668,911,0,0,0,5,0,0,4,0,0,0,0,0,444,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,17,1697,3060,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0,0,0,6,0,9,622,0,381,5071,111,4,0,18,0,0,0,0,0,0,0,5,4,0,0,9
"121",2018,391,279,544,492,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"122",0,0,0,0,0,0,0,0,0,0,0,0,884,322,296,121,292,34,1098,799,2795,0,0,0,0,0,0,0,0,0,0,0,0
"123",240,76,92,206,139,495,0,3,0,0,0,5,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0,170,1066,145,520,413,917
"124",45,4110,19,20,27,44,0,0,0,0,0,0,0,0,0,0,0,0,1027,14,467,3,3,0,0,0,0,5,9,5,5,0,14
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,326,12,3269,2591,2774,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598,2245,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,50,3053,0,0,0,0,0,0,156,12,8,102,154,8
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,123,784,1068,2663,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",41,26,10,33,24,43,0,0,0,0,0,0,26,3,12,23,16,0,774,849,1024,4,0,0,0,0,0,113,216,103,163,174,234
"130",81,10,29,52,36,173,255,105,328,279,90,54,85,8,18,0,0,0,4,3,5,897,1078,392,1931,304,583,165,437,112,284,165,474
"131",0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,661,424,990,1009,904
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,966,1691,69,814,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",0,0,0,0,0,359,0,0,0,0,0,0,0,36,339,19,562,63,78,69,258,208,676,2964,2488,408,995,40,0,7,0,0,0
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,3267,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",50,3,10,24,23,68,0,0,0,0,0,0,0,0,0,3,0,0,14,25,32,3,0,0,8,0,8,239,861,236,679,400,1204
"136",0,0,0,0,0,0,0,0,0,0,0,0,3097,160,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,1048,3678,0,0,0,0,0,0,0,0,0,0,0,0
"138",0,0,0,0,0,0,979,985,876,1719,815,1405,10,6,10,0,0,0,0,0,0,79,158,57,119,72,87,3,0,0,0,0,4
"139",512,12,67,13,34,543,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,431,1015,311,174,387,467
"140",19,21,11,12,42,56,0,0,0,0,1814,1037,52,13,0,27,41,7,0,0,4,4,4,3,0,0,0,0,0,0,0,0,3
"141",44,19,9,36,32,81,639,664,722,1081,813,980,7,0,0,0,0,0,0,0,0,23,35,17,32,21,30,26,88,25,88,59,127
"142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1314,2638,2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",0,0,0,0,0,0,0,0,4,6,4,8,1866,632,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0,0,0,0,0,0,2886,5,3,169,94,41,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,404,2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",7,3,0,11,5,6,0,0,0,0,0,0,0,0,0,26,33,0,322,22,40,257,407,118,351,52,495,587,1894,425,656,689,830
"147",0,0,0,3,0,0,26,32,10,9,21,27,0,0,0,0,0,0,0,0,0,258,401,172,632,296,379,70,261,57,111,138,288
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,2762,3867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",0,0,0,0,0,0,0,0,0,0,0,0,303,228,1132,396,1538,273,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
"150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,121,1808,249,274,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,752,162,1251,793,1136,0,0,0,0,0,0,0,0,0,0,0,0
"152",0,0,0,0,0,0,0,0,0,0,0,0,69,248,386,818,905,1083,105,238,928,0,0,0,0,0,0,0,0,0,0,0,0
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,1729,39,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",3,0,4,10,5,155,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,6,8,0,13,161,9,2633,18,7,16,8,11
"155",608,151,223,423,401,1088,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,14,37,16,41,24,49
"156",158,56,53,73,106,81,55,17,63,17,71,10,19,8,14,224,118,31,314,310,336,501,274,248,283,345,469,64,42,64,34,138,31
"157",31,10,3,14,49,113,0,0,0,0,0,0,0,0,0,25,13,7,10,0,0,573,697,242,885,215,154,122,445,127,268,135,462
"158",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,4,0,0,0,0,0,0,165,663,183,585,253,927
"159",221,0,0,0,49,127,4,0,0,3,0,0,45,8,9,490,42,39,394,1006,638,0,7,0,0,17,17,139,4,0,20,978,216
"160",77,21,30,46,57,147,307,309,179,165,371,220,0,0,0,0,0,0,0,0,0,49,94,29,120,94,118,45,103,19,70,88,161
"162",0,0,0,0,0,0,6,208,0,136,32,1749,146,19,40,36,17,0,0,0,0,3,8,0,5,0,0,0,4,0,0,3,4
"163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,1865,343,95,127,146,0,3,3,5,5,10,0,0,0,0,0,0
"165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157,464,12,0,0,0,0,0,0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0,0,0,0,0,0,40,1704,3454,347,602,92,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,987,1741,33,0,34,0,0,0,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,522,2464,0,0,0,0,0,0,0,0,0,0,0,0
"170",0,0,0,0,0,0,5,4,6,10,4,5,934,415,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,122,167,133,354,130,170,113,461,121,422,162,575
"172",0,0,0,0,0,4,23,0,4,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,292,246,182,635,369
"173",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1346,1555,123,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,23,48,316,719,472,177,598,627,0,0,0,0,0,0,0,0,0,0,0,0
"176",0,0,0,0,0,0,0,0,0,5,4,8,1313,603,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,338,2057,28,0,0,0,0,0,0,0,4,0,0,0,0
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,566,1701,2578,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",0,0,0,0,0,0,0,0,0,0,0,0,85,6,35,785,1188,331,9,13,8,12,9,0,0,5,0,0,0,0,0,0,0
"182",0,0,0,0,0,0,0,0,0,0,0,0,472,56,1236,0,0,12,488,380,425,0,0,0,0,0,0,0,0,0,0,0,0
"183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,9,11,12,9
"184",0,0,0,0,3,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,129,485,129,421,271,647
"185",56,42,13,30,62,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,82,14,45,5,13,68,369,107,326,196,563
"186",0,0,0,0,0,0,346,263,323,385,444,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0,15,0,6,5,5,1992,0,9,0,19,0,4,0,4,19,3,0,4,0,3,0,0,7,0,3,6
"188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,318,362,504,329,326,0,0,0,0,0,0
"189",200,16,40,38,96,109,93,67,174,346,0,0,57,28,27,16,29,0,79,69,75,5,16,6,14,3,7,16,60,11,41,17,55
"191",387,135,127,669,151,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",4,0,0,10,3,8,0,0,0,0,0,0,0,0,0,6,4,0,4,4,0,533,647,116,224,64,166,39,69,39,58,31,72
"194",0,0,0,0,0,0,0,31,8,20,0,23,1256,1194,1026,340,197,276,11,27,152,12,31,5,26,5,19,4,11,0,0,0,3
"195",318,115,85,227,176,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,93,33,90,78,183
"196",0,0,0,0,0,0,0,0,0,0,0,0,6397,283,34,305,192,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",12,9,3,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,3,0,4,0,0,67,913,350,1085,71,99
"198",921,181,63,107,224,504,0,0,0,0,0,0,0,0,0,21,25,3,73,69,33,0,0,0,0,0,0,4,0,0,0,0,57
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,1071,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
