"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"OTU_1145",0,0,0,0,0,0,0,0,0,0,0,0,54,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1146",0,0,0,0,0,0,0,0,7,0,18,0,12,4,0,0,0,0,8,8,23,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1147",0,0,0,0,0,0,0,0,0,0,0,0,17,17,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1148",0,0,0,0,0,0,20,0,0,15,6,17,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
"OTU_1149",0,0,0,0,0,0,0,0,0,0,0,0,41,33,69,31,74,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_115",100995,4893,18278,11433,84056,3527,0,3,3,0,610,0,68,304,176,752,460,9,9398,4964,8659,0,0,0,0,0,0,0,9,3710,984,0,379
"OTU_1151",0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1154",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1155",0,0,0,0,0,0,0,0,0,0,0,0,38,4,9,5,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1158",0,0,0,0,0,0,0,0,0,0,0,0,24,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1159",0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,10,0,0,10,8,9,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_116",1379,271,467,831,948,2414,0,13,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,42,31,64,26,89
"OTU_1163",0,0,0,0,0,0,0,0,0,0,13,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0
"OTU_1165",0,0,0,0,0,0,0,0,0,0,0,0,17,8,22,0,0,0,10,7,6,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1167",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,49,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1169",0,0,0,0,0,0,0,0,0,0,0,0,18,14,28,15,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_117",105,14,35,50,61,199,392,520,194,482,502,1028,15,11,6,0,0,0,0,0,0,400,595,217,674,217,316,169,615,193,581,268,748
"OTU_1171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,9,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1172",0,0,0,0,0,0,0,5,0,23,4,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1174",0,0,0,0,0,0,0,0,0,0,0,0,30,11,0,4,9,0,25,22,15,12,0,0,0,0,0,9,0,0,0,0,0
"OTU_1177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,8,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1178",0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1179",0,0,0,0,0,0,0,0,0,0,0,0,39,14,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_118",265,13,44,8,35,118,26,280,464,1495,217,360,555,668,911,0,0,0,5,0,0,4,0,0,0,0,0,444,0,0,0,0,0
"OTU_1181",0,0,0,0,0,0,0,0,0,0,0,0,23,41,44,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1182",0,0,0,0,0,0,0,0,0,0,0,0,21,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1184",0,0,0,0,0,0,0,0,0,0,0,0,8,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
