"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"103",0,0,0,0,0,0,0,0,0,0,0,0,266,9226,5270,17,57,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",14,11,7,10,0,18,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,7,12,10,8,5,10,8,16,0,14,13,16
"105",0,0,0,0,0,0,4,4,0,4,20,9,559,923,7302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",547,475,341,454,293,486,75,56,45,57,41,64,0,0,0,0,0,0,0,0,0,375,465,416,341,309,409,785,893,219,698,656,716
"107",1000,371,677,529,572,527,2022,1566,1354,1444,1999,1589,94,118,76,4,0,0,0,6,0,218,210,183,197,228,139,8,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,25,0,0,0,0,0,0,3186,1674,452,2422,3058,2436
"109",13,20,7,11,6,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,44,47,32,38,45,8,42,5,32,15,20
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,0,0,0,0,9406,0,0
"111",6337,309,1655,1226,1758,98,0,0,0,0,0,0,0,0,0,16,10,0,46,123,94,0,0,0,0,0,0,0,0,10,28,0,90
"112",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,36,11,0,0,0,1852,1687,1306,1392,1356,1490,0,10,0,0,0,0
"113",1752,646,1628,871,1583,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8646,3205,64,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0
"115",0,3,0,0,6,0,1056,696,559,710,949,662,144,61,36,0,0,0,8,6,0,0,5,0,0,0,0,185,188,46,217,104,202
"117",0,0,0,0,0,0,39,16,5,8,0,0,2923,2227,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",25,15,17,21,19,13,0,0,0,0,0,0,0,0,0,14,8,4,37,118,44,5,0,0,4,0,0,9,5,4,8,8,5
"119",0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,862,7506,11,0,0,0,5,0,6,0,0,4,0,0,0,0,0,0
"120",0,0,0,0,4985,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,457,596,424,3102,3937,0,0,0,0,0,0,0,0,0,0,0,0
"122",143,76,62,66,115,152,1235,949,1085,905,1374,1133,756,44,51,5,0,0,0,4,0,30,32,25,12,22,13,0,0,0,0,0,0
"123",2138,1088,1214,991,1054,1379,809,386,673,548,647,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,546,162,654,506,652
"124",0,0,0,0,0,0,0,0,0,0,0,0,17,20,5,2070,1483,813,519,1861,705,13,13,29,19,32,12,3,27,5,18,13,5
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,19,0,0,0,0,0,0,338,3568,370,2930,0,467
"126",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,313,7077,367,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,32,108,28,2072,1555,8162,0,0,4,4,0,0,0,3,0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,1705,163,5,231,215,2233,380,3854,1181,937,268,0,0,14,0,0,0
"129",2369,226,896,2410,1323,343,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,12,5,8,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,340,247,102,152,234,176,2026,1054,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,8625,290,2425,457,331,133,786,1053,0,0,0,0,0,0,0,0,0,0,0,0
