"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"110",0,0,0,0,0,0,0,0,0,3,0,0,0,4416,4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",14,11,3,7,7,15,0,0,0,0,0,0,0,0,0,0,0,3,2737,3518,2760,0,0,0,0,0,0,0,0,0,3,0,3
"112",0,0,0,0,0,0,703,416,2194,845,268,101,0,0,3,10,7,0,31,12,12,294,267,141,419,264,287,518,962,178,578,352,854
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,10,23,8,0,0,0,0,0,0,0,0,0,0,0,0
"115",1844,424,446,639,770,2102,139,139,154,374,0,54,0,0,0,0,0,0,0,0,0,27,24,46,220,59,98,592,2024,474,1230,781,1901
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,233,7545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,0,0,0,0,2570,522,3288,154,180,92,111,68,102,287,0,151,0,0,0,0,0,0,0,0,0
"118",0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,30,29,42,8,369,925,535,1725,631,1612
"119",0,0,0,0,0,0,0,0,0,0,0,0,9,7,15,7,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7699
"120",24,6,0,16,3,29,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,5,5,0,0,0,0,934,2989,288,643,221,485
"121",696,184,260,448,603,1560,19,17,19,59,0,19,0,0,0,0,0,0,0,0,0,8,8,0,14,6,3,237,881,290,843,439,1182
"122",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3217,3881,657,22,30,3,0,0,0,0,0,0,0,0,0,0,0,0
"123",2060,566,269,1241,598,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,69,20,51,70,85
